Summary_num,Macgregor_num_SL,new_line,new_station,Line,Station,Sta,Latitude,Longitude,Date,Year,Length (mm),WW (g),DW (g),Lipid (g),ppDDE_ppm_ww,opDDD_ppm_ww,opDDT_ppm_ww,ppDDD_ppm_ww,ppDDT_ppm_ww,tDDT_ppm_ww,A1254,Remove,NOTES,
418,389,93.3,30,93,30,93.3,325354,1173354,530407,1953,60,2.2292,0.6484,0.3351,0.067,0.037,0.111,0.18,0.281,0.676,0,0,,
474,390,100,35,100,35,100.35,313109,1170651,530816,1953,77,4.4783,1.3603,0.6668,0,0,0,0,0,0,0,0,,
105,391,70,80,70,80,70.8,351255,1234642,530820,1953,47,0.939,0.3423,0.1795,0.005,0,0,0,0,0.005,1.381,0,,
130,392,76.7,55,77,55,77.55,345010,1210943,530714,1953,52,1.3427,0.4616,0.2344,0.037,0.013,0.012,0.034,0.049,0.145,0.179,0,,
115,393,73.3,55,73,55,73.55,353144,1213843,530503,1953,51,1.109,0.3464,0.1783,0.029,0.014,0.026,0.05,0.067,0.186,0.05,0,,
120,394,73.3,60,73,60,73.6,352144,1215953,530610,1953,50,1.0831,0.3713,0.1729,0.041,0.022,0.027,0.138,0.056,0.284,0.248,0,,
450,395,96.7,30,97,30,97.3,321219,1170649,530606,1953,50,1.2325,0.3536,0.2066,0.14,0.063,0.091,0.146,0.233,0.673,0.033,0,,
165,396,80,65,80,65,80.65,335900,1212948,530000,1953,61,2.4661,0.8454,0.4238,0.031,0.047,0.022,0.062,0.04,0.202,0.045,0,,
17,397,50,50,50,50,50.5,394046,1240806,520600,1952,56,1.5682,0.5568,0.2888,0.007,0,0.003,0.007,0.015,0.025,0.05,0,,
154,398,80,60,80,60,80.6,340900,1210900,520305,1952,52,1.2565,0.3815,0.1927,0,0,0,0,0,0,0,0,,
137,399,76.7,60,77,60,77.6,344010,1213043,520700,1952,64,2.6577,0.8942,0.4571,0.026,0.002,0.017,0.017,0.049,0.111,0,0,,
20,400,50,70,50,70,50.7,390046,1253720,510712,1951,57,1.7053,0.6132,0.2715,0,0,0,0,0.017,0.017,0.018,0,,
34,401,60,55,60,55,60.55,374650,1231441,600123,1960,41,0.5896,0.1827,0.0913,0.183,0.023,0.111,0.033,0.256,0.472,0,0,opDDD and opDDT have ? By the estimates ,
107,402,70,80,70,80,70.8,351255,1234642,591018,1959,21,0.0742,0.0102,0.0017,0.053,0,0,0.008,0.036,0.097,0.277,0,,
176,403,80,70,80,70,80.7,334859,1215035,590815,1959,27,0.1725,0.0424,0.0171,0.082,0,0.002,0.015,0.086,0.185,0.225,0,,
65,404,63.3,80,63,80,63.8,362540,1244003,591021,1959,34,0.3213,0.0937,0.0444,0.068,0,0.012,0.014,0.051,0.145,0.128,0,,
14,405,43.3,70,43,70,43.7,401330,1263242,591025,1959,23,0.0826,0.0124,0.0019,0.01,0,0.001,0,0.019,0.03,0.084,0,,
29,405,56.7,64,57,64,57.64,380400,1242000,500000,1950,20.33,0.1954,0.0362,0.0066,0.023,0,0.007,0,0.029,0.059,0.314,0,"Three specimens - 19 , 20 , 22 mm",
142,406,76.7,80,77,80,77.8,340010,1225414,590614,1959,20,0.0709,0.0091,0.0003,0.006,0,0.001,0.002,0.011,0.02,0.171,0,,
26,406,55,60,55,60,55.6,382848,1241425,500216,1950,67,2.9232,0.927,0.4384,0.001,0,0.001,0,0.009,0.011,0.035,0,,
6,407,40,50,40,50,40.5,412441,1252512,560600,1956,33,0.3052,0.0891,0.0341,0,0,0,0,0,0,0,0,,
